Country	Sum of Countries
100	15
101.5	2
102	5
104	4
105	3
106	4
107	1
111	6
113	1
116	1
117	2
118	2
120	2
123	2
125	4
127	1
137	1
14	1
146	1
149	1
155	6
160	1
165	1
167	4
172	1
178	9
18	1
180	1
214	2
30. Februar	2
39	24
40	6
41	5
45	17
46	6
47	4
48	27
49	4
50	44
51	21
52	34
53	16
54	30
55	31
55.5	3
56	34
57	52
58	40
59	72
60	54
60.5	2
61	72
62	38
63	41
64	41
65	48
66	59
67	27
68	53
69	9
70	45
71	21
72	35
73	55
74	31
75	58
76	24
77	62
78	17
78.5	2
79	30
80	57
81	34
82	46
83	37
84	41
85	29
86	19
87	11
88	4
89	21
90	11
91	50
92	11
93	19
94	7
95	13
96	9
97	1
98	9
99	11
A North American Team	4
Acipactli	3
Acturus	2
Afghanistan	126
Akatonbo	3
Alain IV	3
Albania	67
Alcaid	3
Alcyon-6	1
Alcyon-7	2
Aldebaran	2
Aldebaran II	2
Aletta	3
Algeria	551
Ali-Baba II	7
Ali-Baba IV	2
Ali-Baba IX	2
Ali-Baba VI	2
Allegro	3
Almaz	2
Aloha II	5
Amateur Athletic Association	5
American Samoa	37
Amolgavar	3
Amstel Amsterdam	4
Amulet-3	4
Amulet-7	2
Ancora	4
Andorinha	2
Andorra	169
Andromeda	3
Angelita	15
Angola	267
Anitra	6
Antares	2
Antigua and Barbuda	133
Antwerpia V	9
Apache	4
Aphrodite	3
Arcturus	2
Ardilla	2
Aretusa	3
Argentina	3189
Argentina-1	17
Argentina-2	17
Argeste	3
Argo II	3
Argonaut Rowing Club	6
Argus	4
Ariel	2
Ariette-10	2
Ariette-8	1
Armenia	221
Aruba	42
Aschenbrodel	12
Astrid III	3
Atalanta Boat Club-1	2
Atalanta Boat Club-2	2
Athens-2	11
Atlanta	9
Augsburg	1
Ausonia	3
Australasia	77
Australia	7474
Australia-1	40
Australia-2	40
Australia-3	2
Australia/Great Britain	2
Austria	4818
Austria-1	126
Austria-2	124
Azerbaijan	283
BLO Polo Club	4
Babe	5
Baby-1	2
Baby-9	1
Baccara	3
Bagatelle Polo Club	4
Bahamas	344
Bahrain	126
Bajazzo	3
Balaton	2
Ballerina IV	3
Bamba	6
Bangladesh	55
Barbados	219
Barco Deloro	4
Barion/Bari-2	3
Barrenjoey	3
Beatrijs III-1	3
Beaver	4
Belarus	1780
Belarus-1	2
Belarus-2	2
Belgium	3667
Belgium-1	37
Belgium-2	27
Belgium-3	4
Belgium-4	4
Belize	76
Bella	2
Bellatrix IX	3
Bellatrix XIII	2
Bem II	3
Benin	71
Bera	2
Berliner Ruderclub	2
Berliner Ruderclub Sport-Borussia-1	9
Berliner Ruderverein von 1876-2	9
Bermuda	196
Bermudes	3
Bermudian	2
Bhutan	36
Bim	3
Bingo	1
Bissbi	4
Blue Red	5
Bluebottle	3
Boer Team	5
Bohemia	136
Bohemia-1	2
Bohemia-2	2
Bohemia-3	2
Bohemia/Great Britain	1
Bolivia	150
Bona Fide	3
Bonaparte	1
Bonzo	3
Boreas	3
Boreas-2	2
Bosnia and Herzegovina	134
Boston Archers	4
Botswana	90
Brandenburg	1
Brat	2
Brazil	3771
Brazil-1	28
Brazil-2	28
Bremen	1
Brentina	1
Breslau	1
Briar	1
Brigantia	2
British Virgin Islands	45
Bronia	3
Brunei	10
Brussels Swimming and Water Polo Club	9
Brynhild-2	1
Bu III	2
Bucintoro Venezia	8
Bucintoro Venezia-1	3
Bulgaria	3508
Bulgaria-1	6
Bulgaria-2	6
Buraddoo	6
Burevestnik	3
Burkina Faso	44
Burundi	39
Buscape II	2
Bylina-2	5
C.V.A.-14	2
C.V.A.-7	4
Calcinhas	2
Calimucho	1
Calypse II	2
Cambodia	61
Cambria	3
Cambridge University Boat Club-2	9
Camelia	4
Cameroon	310
Camille	1
Canada	9196
Canada-1	147
Canada-2	148
Canada-3	25
Canopus	6
Cape Verde	18
Caprice	4
