1992	24
1952	26
1936	22
1936	22
2000	26
1948	36
1908	25
1928	19
1928	19
1928	19
1924	20
2006	20
1906	NA
1996	30
1998	19
2002	23
1984	22
2016	33
1960	23
1964	27
1952	NA
1936	33
1956	27
1980	15
1980	15
1980	15
1980	15
1980	15
1980	15
1988	19
1996	30
1976	17
1976	17
1976	17
1976	17
1976	17
1976	17
2008	21
2004	21
2016	20
2016	20
1972	21
2010	23
2010	23
1952	NA
2008	20
2012	24
2016	28
1968	18
2008	22
2012	26
2016	30
1960	24
2000	22
2004	22
1968	25
1972	29
1996	20
1924	22
1924	22
1996	23
1964	27
1968	31
1948 Summer	M
2008	20
2008	20
2012	24
2012	24
2012	24
2016	28
2002	24
2006	28
1968	25
1912	20
1936	20
2006	27
2006	27
2010	31
2010	31
2012	29
1972	21
1972	21
1972	24
2004	22
2004	22
2008	26
2008	26
2012	30
2012	30
2016	34
2016	34
1984	36
1980	24
1920	20
1920	20
1980	25
2008	22
2016	30
2008	24
2012	27
2016	26
2004	40
2016	24
1960	18
1960	18
1988	20
1992	24
1996	28
1988	22
1988	25
1972	24
1972	24
1976	28
1976	28
1960	29
1964	33
1994	22
1998	26
1998	26
1998	26
1998	26
2002	30
2002	30
2002	30
2002	30
1972	24
1980	25
1980	25
1980	25
1980	25
2000	25
2004	29
2008	33
2008	19
2008	19
1960	14
1964	18
1964	18
1964	18
1988	18
1992	22
1992	22
1972	26
1964	36
1972	27
1980	24
1972	30
2008	25
1920	NA
1976	24
1980	28
1976	20
2000	25
2004	29
1936	27
1948	30
1952	34
1952	34
1956	38
1956	38
1968	22
1968	22
1968	22
2002	22
2006	26
2010	30
1984	22
1972	28
1972	28
1960	27
1960	27
1936	27
2004	19
2008	23
2012	27
2016	31
1928	17
1948	38
1928	29
1932	33
1972	18
1976	22
1964	24
1998	25
1998	25
1998	25
1998	25
1998	25
2002	29
2002	29
1968	33
1992	26
2008	33
2004	29
2004	29
2008	33
2008	33
2008	28
2010	28
1980	25
1960	37
2012	25
2012	25
1996	29
1976	29
1996	24
2000	28
2000	22
2004	25
1936	19
1996	26
1960	20
1960	20
1976	22
1976	22
1980	26
1980	26
1972	24
1972	24
1972	24
2004	19
2014	23
2006	20
1976	20
1976	20
1976	20
1994	23
1998	27
2002	31
1964	24
1900	NA
1996	28
1992	22
1996	21
1980	20
1980	20
1984	24
1984	24
1984	24
1988	28
1988	28
1952	25
1952	25
1956	29
1956	29
1988	19
1988	19
1988	19
1992	23
1996	27
2000	31
1980	23
1980	23
1972	21
1964	NA
1992	22
1992 Summer	F
1996	26
2000	30
2004	34
1920	NA
1976	37
1976	37
1952	28
1952	28
1952	28
1952	28
1952	28
1952	28
1952	28
1952	28
1968	23
1972	27
1964	27
1912	23
2008	21
2008	21
2008	21
2008	21
1988	19
2008	37
2016	26
1960	30
1968	38
2006	22
2006	20
1906	NA
1992	20
1996	24
2000	28
2004	32
2008	36
1980	25
1952	33
2002	28
2006	32
1984	16
1984	16
1984	16
1984	16
1984	16
1984	16
1912 Summer	M
2000	27
1928	16
1936	24
1928	18
1964	23
1968	27
2012	28
1980	21
1984	25
2012	24
2016	28
2016	28
2016	28
1936	22
1936	22
1936	22
1936	22
1936	22
1936	22
1936	22
1936	22
1948	34
1948	34
1948	34
1948	34
1948	34
1948	34
1948	34
1948	34
1912	21
1912	21
2016	28
1980	18
1980	18
1998	26
1998	26
1998	26
2002	22
2004	27
2008	31
2012	35
1928	20
1928	29
1964	23
2004	20
1952	22
1928	23
1984	27
1920	36
1920	36
1924	17
1996	27
1976	17
2010	21
2010	21
2010	21
2010	21
1928	21
1952	19
1960	27
1996	21
2000	25
2016	24
1992	22
1996	26
1964	22
1976	17
1976	17
1980	21
1980	21
1980	21
1980	21
1984	25
1984	25
1972	22
1964	20
1964	21
1964	21
1968	25
1968	25
1972	29
1972	29
1976	33
1956	18
1956	18
1956	18
1900	NA
2016	27
1928	NA
1992	27
2008	37
2010	23
2010	23
2008	18
2016	26
2016	29
1996	39
1996	39
2008	26
1928	44
1924	NA
1972	21
1976	25
2008	33
2012	28
2016	32
2016	32
1988	18
2006	29
1980	18
1980	18
1984	22
1984	22
1992	16
1992	25
1992	25
1908	NA
1956	24
2004	32
2008	36
2012	27
2016	31
1972	35
1928	NA
1928	NA
1928	NA
1928	NA
1928	NA
1928	NA
2004	21
2012	29
2016	33
2016	31
1956	23
1948	22
1948	22
1948	22
1948	22
1948	22
1948	22
1948	22
1948	22
1952	22
1956	26
1956	27
1928	NA
1960	25
2000	20
2008	22
2012	26
1992	22
1980	21
1992	19
1994	21
1998	25
1998	25
2002	29
2002	29
2002	29
1920	27
1964	23
1972	22
1904 Summer	M
1904 Summer	M
1932	NA
2000	28
1976	26
2006	24
2006	24
2006	24
2006	24
2000	25
1984	NA
2008	22
2012	25
1996	24
2016	23
2012	19
1992	36
2000	26
1992	17
2004	24
2008	28
2012	32
2016	36
1908	29
1912	33
1912	33
1912	33
1920	41
1948	NA
1948	NA
1988	22
1968	24
1968	24
2016	22
1972	21
1996	32
1948	19
1948	19
2016	29
2000	27
2000	29
1908	40
1908	40
1972	21
1968	31
1968	24
1960	18
2004	27
1992 Summer	M
2006	17
2010	21
2014	25
1924	26
2012	26
1924	27
2008	30
2008	30
1952	29
1960	37
1968	18
1992	19
1996	23
1968	20
2008	23
1948	26
1952	30
1960	38
1920	24
1992	30
1992	30
1948	18
1952	22
1952	21
1972	52
1972	52
1948	26
1992	31
2004	21
2008	25
1904 Summer	NA
1904	NA
1904	NA
1904	NA
1988 Summer	M
1988 Summer	M
1996 Summer	M
1968	25
1972	29
1928	52
1928	52
1948	30
1956	21
1956	21
1912	22
1980	19
1980	19
2016	35
1984	20
2014	23
2014	23
1996	21
2008	24
2016	32
2012	23
2012	21
2016	25
1988	32
1992	36
1996	40
2000	44
1972	23
1972	23
